iter	Passed	Remaining
591	1564	1078
592	1567	1075
593	1569	1072
594	1572	1070
595	1574	1067
596	1577	1064
597	1580	1062
598	1583	1059
599	1586	1057
600	1589	1055
601	1592	1052
602	1595	1050
603	1599	1048
604	1602	1046
605	1606	1044
606	1609	1041
607	1612	1039
608	1615	1037
609	1619	1035
610	1623	1033
611	1626	1030
612	1629	1028
613	1632	1026
614	1635	1023
615	1638	1021
616	1641	1019
617	1645	1017
618	1648	1014
619	1651	1012
620	1655	1010
621	1658	1007
622	1660	1005
623	1663	1002
624	1666	1000
625	1670	997
626	1673	995
627	1676	993
628	1679	990
629	1682	988
630	1686	986
631	1689	983
632	1692	981
633	1695	979
634	1699	976
635	1703	975
636	1707	972
637	1710	970
638	1713	967
639	1716	965
640	1720	963
641	1724	961
642	1727	959
643	1731	957
644	1734	954
645	1738	952
646	1741	949
647	1744	947
648	1747	945
649	1750	942
650	1754	940
651	1757	938
652	1760	935
653	1763	933
654	1767	930
655	1771	928
656	1775	926
657	1777	924
658	1781	922
659	1785	919
660	1788	917
661	1790	914
662	1793	911
663	1796	909
664	1799	906
665	1802	904
666	1805	901
667	1808	898
668	1811	896
669	1814	893
670	1817	891
671	1820	888
672	1823	885
673	1826	883
674	1829	880
675	1832	878
676	1835	875
677	1837	872
678	1840	870
679	1843	867
680	1846	864
681	1849	862
682	1851	859
683	1854	856
684	1857	854
685	1860	851
686	1863	848
687	1865	846
688	1868	843
689	1872	841
690	1875	838
691	1877	835
692	1880	833
693	1883	830
694	1886	827
695	1888	825
696	1891	822
697	1894	819
698	1897	816
699	1899	814
700	1902	811
701	1905	808
702	1907	805
703	1910	803
704	1913	800
705	1915	797
706	1918	795
707	1921	792
708	1923	789
709	1926	786
710	1929	784
711	1932	781
712	1934	778
713	1937	776
714	1939	773
715	1942	770
716	1944	767
717	1947	765
718	1950	762
719	1953	759
720	1955	756
721	1958	754
722	1960	751
723	1963	748
724	1966	745
725	1968	743
726	1971	740
727	1973	737
728	1976	734
729	1979	732
730	1981	729
731	1984	726
732	1987	723
733	1989	721
734	1992	718
735	1995	715
736	1997	712
737	2000	710
738	2002	707
739	2005	704
740	2008	701
741	2010	699
742	2013	696
743	2016	693
744	2019	691
745	2021	688
746	2024	685
747	2027	683
748	2029	680
749	2032	677
750	2035	674
751	2037	672
752	2040	669
753	2043	666
754	2047	664
755	2050	661
756	2053	659
757	2056	656
758	2059	653
759	2062	651
760	2065	648
761	2068	646
762	2071	643
763	2074	640
764	2078	638
765	2081	635
766	2084	633
767	2087	630
768	2090	628
